orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,2015_rbtc_colle,2015__transfused_blood,2015_donated_blood_units,2015_blood_other_sources,2015_no_of_units_requested_from_other_transfusing_hospi,2015__blood_units_received_from_moh_706blood_transfusio,2015_moh_706_blood_units_transfused,2016_rbtc_colle,2016__transfused_blood,2016_donated_blood_units,2016_blood_other_sources,2016_no_of_units_requested_from_other_transfusing_hospi,2016__blood_units_received_from_moh_706blood_transfusio,2016_moh_706_blood_units_transfused,2017_rbtc_colle,2017__transfused_blood,2017_donated_blood_units,2017_blood_other_sources,2017_no_of_units_requested_from_other_transfusing_hospi,2017__blood_units_received_from_moh_706blood_transfusio,2017_moh_706_blood_units_transfused,2018_rbtc_colle,2018__transfused_blood,2018_donated_blood_units,2018_blood_other_sources,2018_no_of_units_requested_from_other_transfusing_hospi,2018__blood_units_received_from_moh_706blood_transfusio,2018_moh_706_blood_units_transfused,2019_rbtc_colle,2019__transfused_blood,2019_donated_blood_units,2019_blood_other_sources,2019_no_of_units_requested_from_other_transfusing_hospi,2019__blood_units_received_from_moh_706blood_transfusio,2019_moh_706_blood_units_transfused
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Meldy Clinic,PbDWLB5gXr2,Meldy Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,AAR Healthcare Services Syokimau Outpatient Centre,DyPPciUocVr,AAR Healthcare Services Syokimau Outpatient Centre,25948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Adenville Medical Care Centre,xGcOUjxW1hu,Adenville Medical Care Centre,25609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Afya Njema Clinic,QtQRfq2Vjsz,Afya Njema Clinic,11921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Aga khan syokimau,YiSC9JwNVW0,Aga khan syokimau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Air Port Medical Centre,cjRk88NSyY9,Air Port Medical Centre,11922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Amani Medical Centre,mZcNPm0uOJG,Amani Medical Centre,23436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athi Complex Community Centre,tSXDSsQVI5p,Athi Complex Community Centre,18169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athi River Health Centre,bHv5fWNPV64,Athi River Health Centre,11936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athi River Medical Services,rtOVeE98u6G,Athi River Medical Services,11937.0,,51.0,39.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,33.0,23.0,,,,,,3.0,2.0
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athichem Modern Medical Centre,wP62wKmuZjz,Athichem Modern Medical Centre,25801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athichem Modern Medical Centre,nAFwLrBxMAA,Athichem Modern Medical Centre,25802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Athipoint Medical Centre,tBbWONdq7zj,Athipoint Medical Centre,21803.0,In Makandara Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Baspen Syokimau Cottage Hospital,RVblr15PpG3,Baspen Syokimau Cottage Hospital,24280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Athi River Ward,Bigson Health Services,WsW4fh73So0,Bigson Health Services,23997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Bluebells Medical Clinic,Mw3vxRKehe7,Bluebells Medical Clinic,18837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,Caremax Health Ltd,iYhqI90bDBl,Caremax Health Ltd,24709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Machakos County,Athi River Sub County,Syokimau/Mulolongo Ward,CHS Mlolongo Dice,OXqeMIqNOUe,CHS Mlolongo Dice,25229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
