orgunitlevel4,2015,2016,2017,2018,2019
Ahero Ward,92.0,270.0,180.0,317.0,190.0
Airport Ward,392.0,184.0,215.0,181.0,47.0
Athi River Ward,836.0,1018.0,1354.0,1052.0,179.0
Awasi/Onjiko Ward,0.0,15.0,74.0,4.0,82.0
Babandogo Ward,0.0,0.0,0.0,220.0,302.0
California Ward,143.0,25.0,108.0,6.0,0.0
Central Kisumu Ward,39.0,58.0,549.0,513.0,390.0
Central Nyakach Ward,358.0,372.0,155.0,290.0,161.0
Central Seme Ward,504.0,351.0,87.0,245.0,197.0
Clay City Ward,618.0,413.0,375.0,482.0,270.0
Dandora Area I Ward,0.0,0.0,4.0,9.0,0.0
Dandora Area II Ward,0.0,0.0,10.0,0.0,7.0
Dandora Area Iv Ward,0.0,0.0,28.0,46.0,76.0
Eastleigh North Ward,367.0,47.0,7.0,0.0,0.0
Embakasi Ward,0.0,0.0,0.0,0.0,33.0
Frere Town Ward,301.0,54.0,0.0,0.0,0.0
Githurai Ward,0.0,8.0,28.0,162.0,161.0
Harambee Ward,443.0,23.0,0.0,0.0,0.0
Kahawa West Ward,0.0,0.0,61.0,0.0,0.0
Kajulu Ward,71.0,65.0,127.0,133.0,216.0
Kakuma Ward,875.0,856.0,368.0,236.0,54.0
Kanamkemer Ward,0.0,8.0,0.0,0.0,0.0
Kangemi Ward,0.0,0.0,0.0,1.0,8.0
Kangundo Central Ward,626.0,4954.0,265.0,1025.0,639.0
Kariobangi North Ward,0.0,0.0,4.0,0.0,29.0
Kasarani Ward,0.0,0.0,6.0,0.0,7.0
Kathiani Central Ward,122.0,131.0,39.0,225.0,194.0
Katilu Ward,49.0,7.0,69.0,11.0,29.0
Kawangware Ward,0.0,0.0,24.0,18.0,12.0
Kayole Central Ward,0.0,0.0,0.0,0.0,3.0
Kerio Delta Ward,0.0,19.0,0.0,0.0,0.0
Kiamaiko Ward,14.0,0.0,0.0,0.0,0.0
Kileleshwa Ward,19.0,0.0,232.0,369.0,435.0
Kilimani Ward,1467.0,1391.0,3467.0,1909.0,0.0
Kipevu Ward,0.0,0.0,0.0,7.0,0.0
Kisumu North Ward,0.0,0.0,0.0,37.0,3.0
Kobura Ward,40.0,40.0,0.0,4.0,0.0
Kola Ward,0.0,0.0,0.0,0.0,18.0
Kolwa East Ward,99.0,30.0,95.0,50.0,71.0
Komarock Ward,0.0,1510.0,873.0,1369.0,1107.0
Kondele Ward,9829.0,6864.0,1704.0,3052.0,1711.0
Korogocho Ward,0.0,0.0,22.0,0.0,7.0
Lapur Ward,0.0,0.0,0.0,0.0,9.0
Lodwar Township Ward,2474.0,1591.0,834.0,844.0,510.0
Lokichoggio Ward,0.0,0.0,2.0,0.0,0.0
Machakos Central Ward,2602.0,3376.0,1622.0,4746.0,3012.0
Magogoni Ward,424.0,88.0,0.0,0.0,0.0
Majengo Ward,1327.0,715.0,146.0,548.0,254.0
Makutano/Mwala Ward,0.0,0.0,0.0,30.0,83.0
Maringo/Hamza Ward,0.0,0.0,4.0,89.0,73.0
Market Milimani Ward,4492.0,2941.0,1398.0,2272.0,1439.0
Mathare North Ward,97.0,72.0,116.0,118.0,49.0
Matungulu North Ward,0.0,0.0,22.0,5.0,3.0
Matungulu West Ward,9.0,0.0,0.0,0.0,2.0
Matuu Ward,15.0,33.0,0.0,0.0,0.0
Mikindani Ward,0.0,0.0,0.0,0.0,13.0
Mji Wa Kale/Makadara Ward,285.0,129.0,74.0,83.0,379.0
Mtopanga Ward,90.0,11.0,47.0,11.0,7.0
Mugumo-ini Ward,91.0,687.0,2771.0,73.0,10.0
Muhoroni Koru Ward,47.0,129.0,43.0,96.0,68.0
Muvuti/Kiima-kimwe Ward,0.0,0.0,0.0,0.0,1.0
Mwiki Ward,0.0,0.0,2.0,0.0,31.0
Nairobi South Ward,271.0,0.0,0.0,0.0,0.0
Nairobi West Ward,1640.0,62.0,0.0,19.0,0.0
Nanaam Ward,0.0,22.0,67.0,24.0,123.0
Ngando Ward,0.0,0.0,0.0,4.0,0.0
Ngei Ward,5.0,0.0,0.0,0.0,0.0
Njiru Ward,0.0,0.0,0.0,0.0,31492.0
North West Kisumu Ward,193.0,105.0,322.0,260.0,169.0
Nyalenda B Ward,0.0,0.0,0.0,2.0,1.0
Pangani Ward,33.0,0.0,0.0,0.0,0.0
Parklands/Highridge Ward,684.0,218.0,0.0,0.0,0.0
Port Reitz Ward,567.0,165.0,148.0,59.0,46.0
Pumwani Ward,578.0,86.0,0.0,0.0,0.0
Railways Ward,0.0,0.0,0.0,3.0,74.0
Ruai Ward,0.0,0.0,70.0,151.0,77.0
Shanzu Ward,0.0,17.0,0.0,0.0,0.0
Shauri Moyo Kaloleni Ward,33.0,45.0,99.0,50.0,89.0
Shimanzi/Ganjoni Ward,132.0,50.0,544.0,181.0,402.0
South C Ward,172.0,40.0,0.0,0.0,0.0
South East Nyakach Ward,728.0,513.0,674.0,350.0,233.0
Timbwani Ward,3.0,0.0,306.0,222.0,551.0
Tononoka Ward,2472.0,77.0,586.0,2692.0,64.0
Tudor Ward,14.0,0.0,6.0,3.0,7.0
Turkwel Ward,0.0,0.0,0.0,0.0,42.0
Utalii Ward,0.0,0.0,0.0,5.0,12.0
Utawala Ward,0.0,0.0,25.0,244.0,480.0
Woodley/Kenyatta Golf Course Ward,29939.0,11735.0,106.0,802.0,0.0
Ziwa La Ng'ombe Ward,3.0,0.0,0.0,0.0,0.0
