orgunitlevel4,supply
Ahero Ward,317.0
Airport Ward,181.0
Athi River Ward,1052.0
Awasi/Onjiko Ward,4.0
Babandogo Ward,220.0
California Ward,6.0
Central Kisumu Ward,513.0
Central Nyakach Ward,290.0
Central Seme Ward,245.0
Clay City Ward,482.0
Dandora Area I Ward,9.0
Dandora Area Iv Ward,46.0
Githurai Ward,162.0
Kajulu Ward,133.0
Kakuma Ward,236.0
Kangemi Ward,1.0
Kangundo Central Ward,1025.0
Kathiani Central Ward,225.0
Katilu Ward,11.0
Kawangware Ward,18.0
Kileleshwa Ward,369.0
Kilimani Ward,1909.0
Kipevu Ward,7.0
Kisumu North Ward,37.0
Kobura Ward,4.0
Kolwa East Ward,50.0
Komarock Ward,1369.0
Kondele Ward,3052.0
Lodwar Township Ward,844.0
Machakos Central Ward,4746.0
Majengo Ward,548.0
Makutano/Mwala Ward,30.0
Maringo/Hamza Ward,89.0
Market Milimani Ward,2272.0
Mathare North Ward,118.0
Matungulu North Ward,5.0
Mji Wa Kale/Makadara Ward,83.0
Mtopanga Ward,11.0
Mugumo-ini Ward,73.0
Muhoroni Koru Ward,96.0
Nairobi West Ward,19.0
Nanaam Ward,24.0
Ngando Ward,4.0
North West Kisumu Ward,260.0
Nyalenda B Ward,2.0
Port Reitz Ward,59.0
Railways Ward,3.0
Ruai Ward,151.0
Shauri Moyo Kaloleni Ward,50.0
Shimanzi/Ganjoni Ward,181.0
South East Nyakach Ward,350.0
Timbwani Ward,222.0
Tononoka Ward,2692.0
Tudor Ward,3.0
Utalii Ward,5.0
Utawala Ward,244.0
Woodley/Kenyatta Golf Course Ward,802.0
