,orgunitlevel4,supply
0,Syokimau/Mulolongo Ward,0.0
1,Syokimau/Mulolongo Ward,0.0
2,Athi River Ward,0.0
3,Athi River Ward,0.0
4,Syokimau/Mulolongo Ward,0.0
5,Syokimau/Mulolongo Ward,0.0
6,Athi River Ward,0.0
7,Athi River Ward,0.0
8,Athi River Ward,0.0
9,Athi River Ward,3.0
10,Athi River Ward,0.0
11,Athi River Ward,0.0
12,Athi River Ward,0.0
13,Syokimau/Mulolongo Ward,0.0
14,Athi River Ward,0.0
15,Syokimau/Mulolongo Ward,0.0
16,Syokimau/Mulolongo Ward,0.0
17,Syokimau/Mulolongo Ward,0.0
18,Athi River Ward,0.0
19,Syokimau/Mulolongo Ward,0.0
20,Kinanie Ward,0.0
21,Athi River Ward,0.0
22,Syokimau/Mulolongo Ward,0.0
23,Athi River Ward,0.0
24,Syokimau/Mulolongo Ward,0.0
25,Syokimau/Mulolongo Ward,0.0
26,Athi River Ward,0.0
27,Athi River Ward,0.0
28,Athi River Ward,0.0
29,Athi River Ward,0.0
30,Syokimau/Mulolongo Ward,0.0
31,Syokimau/Mulolongo Ward,0.0
32,Syokimau/Mulolongo Ward,0.0
33,Syokimau/Mulolongo Ward,0.0
34,Syokimau/Mulolongo Ward,0.0
35,Syokimau/Mulolongo Ward,0.0
36,Kinanie Ward,0.0
37,Athi River Ward,0.0
38,Athi River Ward,0.0
39,Athi River Ward,0.0
40,Syokimau/Mulolongo Ward,0.0
41,Muthwani Ward,0.0
42,Muthwani Ward,0.0
43,Athi River Ward,0.0
44,Muthwani Ward,0.0
45,Kinanie Ward,0.0
46,Syokimau/Mulolongo Ward,0.0
47,Muthwani Ward,0.0
48,Kinanie Ward,0.0
49,Kinanie Ward,0.0
50,Kinanie Ward,0.0
51,Athi River Ward,0.0
52,Syokimau/Mulolongo Ward,0.0
53,Syokimau/Mulolongo Ward,0.0
54,Syokimau/Mulolongo Ward,0.0
55,Athi River Ward,0.0
56,Athi River Ward,0.0
57,Syokimau/Mulolongo Ward,0.0
58,Syokimau/Mulolongo Ward,0.0
59,Athi River Ward,0.0
60,Syokimau/Mulolongo Ward,0.0
61,Kinanie Ward,0.0
62,Syokimau/Mulolongo Ward,0.0
63,Syokimau/Mulolongo Ward,0.0
64,Syokimau/Mulolongo Ward,0.0
65,Athi River Ward,0.0
66,Syokimau/Mulolongo Ward,0.0
67,Kinanie Ward,0.0
68,Athi River Ward,0.0
69,Syokimau/Mulolongo Ward,0.0
70,Syokimau/Mulolongo Ward,0.0
71,Athi River Ward,0.0
72,Muthwani Ward,0.0
73,Syokimau/Mulolongo Ward,0.0
74,Muthwani Ward,0.0
75,Syokimau/Mulolongo Ward,0.0
76,Athi River Ward,0.0
77,Syokimau/Mulolongo Ward,0.0
78,Muthwani Ward,0.0
79,Syokimau/Mulolongo Ward,0.0
80,Syokimau/Mulolongo Ward,0.0
81,Syokimau/Mulolongo Ward,0.0
82,Athi River Ward,176.0
83,Kinanie Ward,0.0
84,Syokimau/Mulolongo Ward,0.0
85,Syokimau/Mulolongo Ward,0.0
86,Muthwani Ward,0.0
87,Syokimau/Mulolongo Ward,0.0
88,Syokimau/Mulolongo Ward,0.0
89,Kinanie Ward,0.0
90,Syokimau/Mulolongo Ward,0.0
91,Syokimau/Mulolongo Ward,0.0
92,Muthwani Ward,0.0
93,Athi River Ward,0.0
94,Syokimau/Mulolongo Ward,0.0
95,Syokimau/Mulolongo Ward,0.0
96,Syokimau/Mulolongo Ward,0.0
97,Syokimau/Mulolongo Ward,0.0
98,Syokimau/Mulolongo Ward,0.0
99,Kinanie Ward,0.0
100,Syokimau/Mulolongo Ward,0.0
101,Syokimau/Mulolongo Ward,0.0
102,Syokimau/Mulolongo Ward,0.0
103,Muthwani Ward,0.0
104,Syokimau/Mulolongo Ward,0.0
105,Syokimau/Mulolongo Ward,0.0
106,Athi River Ward,0.0
107,Airport Ward,0.0
108,Airport Ward,0.0
109,Airport Ward,0.0
110,Kipevu Ward,0.0
111,Airport Ward,0.0
112,Airport Ward,0.0
113,Airport Ward,0.0
114,Airport Ward,0.0
115,Kipevu Ward,0.0
116,Airport Ward,0.0
117,Airport Ward,0.0
118,Port Reitz Ward,46.0
119,Airport Ward,0.0
120,Airport Ward,0.0
121,Chaani Ward,0.0
122,Airport Ward,0.0
123,Chaani Ward,0.0
124,Chaani Ward,0.0
125,Chaani Ward,0.0
126,Airport Ward,0.0
127,Airport Ward,0.0
128,Chaani Ward,0.0
129,Chaani Ward,0.0
130,Airport Ward,0.0
131,Airport Ward,0.0
132,Airport Ward,0.0
133,Airport Ward,0.0
134,Airport Ward,0.0
135,Airport Ward,0.0
136,Chaani Ward,0.0
137,Airport Ward,0.0
138,Port Reitz Ward,0.0
139,Airport Ward,0.0
140,Changamwe Ward,0.0
141,Airport Ward,0.0
142,Airport Ward,0.0
143,Port Reitz Ward,0.0
